nft_address,block,from_addr,to_addr,token_id,tx_hash,value,timestamp,usd_value,eth_value,exchange,txn_hash_idx
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792655,0x0000000000000000000000000000000000000000,0x8b18fd15c15520378499c63a05060f0d4a1dc770,5288,0x2da884efcd3ae1d1beba55b352a312035459e07fd54843a6410d71bfb5a1d2fd,0.2,1639342717,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792556,0x0000000000000000000000000000000000000000,0xd965c0be4403d0301fe15b3e0b16c7fb9e82072f,5259,0x1a95dd6aa9a351887c387006310ddcce32518b552df20e06e745d11f2488a688,0.2,1639341473,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792556,0x0000000000000000000000000000000000000000,0xd965c0be4403d0301fe15b3e0b16c7fb9e82072f,5260,0x1a95dd6aa9a351887c387006310ddcce32518b552df20e06e745d11f2488a688,0.2,1639341473,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792695,0x188b41639312e2f17e849081d670fd930d44a655,0x74598858107ee2c815e6431f15c8e6e92ceb0bda,5252,0x61550c3fc8b9c75ca71b918e9c82e6f32e70cd3d06217b8fd9a6f136a47a198a,0.179,1639343193,742.15,0.179,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792695,0x2bdaf977f02001cadeed3479f946cf1d13b09a60,0x2d3f495f0e2370a68b60cebb4406cbc0be3d2145,131,0x6b8b26ff19b0ad8cc6f66d439fceba0835129ba442296847b8c4a010e7891c66,0.175,1639343193,725.56,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792509,0xc31cb85afa668fa7bfdf1ad189b16f5249fa4c8e,0x6fc4bc5d48373eb42ccc88440b605fac0c87e45c,622,0xcc750bcdc1c1d0b4dec361328133b8a221b0abbff0cedbad053df4768d13d708,0.1789,1639340724,744.83,0.1789,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792557,0x81210106806bcd45df0fead7c5226cdca1b5edab,0xc32438f7e4d3444acb88c23ecdadbc9989acc344,4267,0xc93a025c2baeadbfe666bde86bf3fd28d2f51c8695be8ff4c9debf8a8fc32d9b,0.174,1639341479,725.11,0.174,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792557,0xb4c0ba5cbdf1ae07e9a55282f14a0eb249c15967,0x121345a9286d4963a59d834c60b7308591530672,5194,0x006b2712b59b6b880e99e7c04d7dbf0beb3cce38927f19b8098a3f2c0adbfd02,0.175,1639341479,729.28,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792509,0xa25b3a89a11cb5e040dc06bb0e8be82ad7cbfdfa,0xd268b56e2ab21e50637528c25f68e89c560493b2,3022,0x6299749898ca40866b46043ff9a2cd55eff7e89475b1d9b309e93637fb16eaa5,0.18,1639340724,749.41,0.18,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792658,0xde71b35417586d49305149640ddc02ac7dd9ce71,0x5e86efddfaf27f64faa2af6f3386a562765a1e28,3547,0xb99ca4fae96ee297dc29c71c581848d2eed43acbf3d13377d33f74670a400b46,0.1745,1639342825,723.49,0.1745,Opensea,0
